データ日付,終値,始値,高値,安値
"2022/09/20","27688.42","27788.68","27907.45","27627.86"
"2022/09/21","27313.13","27440.84","27467.34","27297.50"
"2022/09/22","27153.83","27053.58","27197.07","26955.18"
"2022/09/26","26431.55","26779.44","26779.44","26424.60"
"2022/09/27","26571.87","26585.38","26680.20","26523.77"
"2022/09/28","26173.98","26422.86","26516.32","25938.36"
"2022/09/29","26422.05","26280.50","26458.67","26221.78"
"2022/09/30","25937.21","26240.00","26273.65","25805.59"
"2022/10/03","26215.79","25778.95","26223.84","25621.96"
"2022/10/04","26992.21","26653.49","26994.44","26633.52"
"2022/10/05","27120.53","27211.32","27216.80","27030.55"
"2022/10/06","27311.30","27137.98","27399.19","27137.98"
"2022/10/07","27116.11","26975.92","27198.91","26921.90"
"2022/10/11","26401.25","26757.12","26759.62","26369.56"
"2022/10/12","26396.83","26353.22","26495.75","26313.41"
"2022/10/13","26237.42","26398.29","26408.31","26237.42"
"2022/10/14","27090.76","26599.32","27180.16","26595.35"
"2022/10/17","26775.79","26785.02","26814.92","26649.13"
"2022/10/18","27156.14","27167.73","27229.88","26910.10"
"2022/10/19","27257.38","27225.17","27371.38","27192.79"
"2022/10/20","27006.96","26981.75","27092.55","26872.45"
"2022/10/21","26890.58","26903.50","26985.38","26869.38"
"2022/10/24","26974.90","27233.00","27308.97","26974.90"
"2022/10/25","27250.28","27113.20","27337.80","27073.18"
"2022/10/26","27431.84","27410.64","27578.05","27404.90"
"2022/10/27","27345.24","27407.23","27450.26","27330.79"
"2022/10/28","27105.20","27097.38","27265.46","26981.08"
"2022/10/31","27587.46","27404.30","27602.99","27392.99"
"2022/11/01","27678.92","27614.64","27682.97","27526.18"
"2022/11/02","27663.39","27562.30","27692.55","27546.88"
"2022/11/04","27199.74","27371.89","27389.30","27032.02"
"2022/11/07","27527.64","27406.78","27578.01","27357.53"
"2022/11/08","27872.11","27718.84","27943.27","27704.64"
"2022/11/09","27716.43","27884.55","27926.52","27688.86"
"2022/11/10","27446.10","27459.08","27485.38","27370.62"
"2022/11/11","28263.57","27868.69","28329.54","27837.09"
"2022/11/14","27963.47","28277.64","28305.04","27963.47"
"2022/11/15","27990.17","27940.26","28038.63","27903.27"
"2022/11/16","28028.30","28020.49","28069.25","27743.15"
"2022/11/17","27930.57","27952.21","28029.62","27910.01"
"2022/11/18","27899.77","28009.82","28045.44","27877.78"
"2022/11/21","27944.79","27982.00","28007.06","27846.30"
"2022/11/22","28115.74","28059.51","28203.35","28038.16"
"2022/11/24","28383.09","28373.72","28502.29","28363.66"
"2022/11/25","28283.03","28398.77","28399.88","28263.60"
"2022/11/28","28162.83","28220.56","28238.50","28046.32"
"2022/11/29","28027.84","27991.50","28055.91","27899.98"
"2022/11/30","27968.99","27886.67","27972.89","27802.71"
"2022/12/01","28226.08","28273.13","28423.46","28226.08"
"2022/12/02","27777.90","27983.18","27983.18","27662.12"
"2022/12/05","27820.40","27752.99","27854.11","27700.86"
"2022/12/06","27885.87","27704.06","27934.07","27698.31"
"2022/12/07","27686.40","27670.29","27786.25","27646.78"
"2022/12/08","27574.43","27622.30","27643.64","27415.66"
"2022/12/09","27901.01","27633.96","27952.80","27633.96"
"2022/12/12","27842.33","27741.10","27865.72","27734.66"
"2022/12/13","27954.85","28067.37","28116.56","27907.49"
"2022/12/14","28156.21","28005.03","28195.69","27993.78"
"2022/12/15","28051.70","27991.14","28163.17","27987.54"
"2022/12/16","27527.12","27706.70","27713.04","27488.83"
"2022/12/19","27237.64","27279.92","27349.58","27165.78"
"2022/12/20","26568.03","27257.35","27339.49","26416.91"
"2022/12/21","26387.72","26547.17","26616.28","26269.80"
"2022/12/22","26507.87","26552.43","26585.28","26399.31"
"2022/12/23","26235.25","26207.77","26291.98","26106.38"
"2022/12/26","26405.87","26299.54","26438.65","26294.85"
"2022/12/27","26447.87","26570.78","26620.49","26447.87"
"2022/12/28","26340.50","26309.34","26354.27","26199.67"
"2022/12/29","26093.67","26074.90","26126.70","25953.92"
"2022/12/30","26094.50","26288.00","26321.37","26067.92"
"2023/01/04","25716.86","25834.93","25840.68","25661.89"
"2023/01/05","25820.80","25825.50","25947.10","25750.46"
"2023/01/06","25973.85","25740.08","26034.06","25719.61"
"2023/01/10","26175.56","26176.61","26316.66","26132.80"
"2023/01/11","26446.00","26362.21","26479.99","26332.05"
"2023/01/12","26449.82","26524.94","26547.61","26381.93"
"2023/01/13","26119.52","26391.78","26409.21","26090.84"
